action,frame,l,b,w,h,hand_x_norm,hand_y_norm,sword_deg
idle,0,,,,,0.6,0.62,70.0
idle,1,,,,,0.6,0.64,68.0
move,0,,,,,0.6,0.65,73.0
move,1,,,,,0.6529,0.6443,82.1
move,2,,,,,0.6856,0.6293,83.5
move,3,,,,,0.6856,0.6107,76.7
move,4,,,,,0.6529,0.5957,64.3
move,5,,,,,0.6,0.59,51.0
move,6,,,,,0.5471,0.5957,41.9
move,7,,,,,0.5144,0.6107,40.5
move,8,,,,,0.5144,0.6293,47.3
move,9,,,,,0.5471,0.6443,59.7
attack_fire,0,,,,,0.56,0.66,80.0
attack_fire,1,,,,,0.54,0.68,90.0
attack_fire,2,,,,,0.58,0.67,85.0
attack_fire,3,,,,,0.7,0.58,20.0
attack_fire,4,,,,,0.72,0.54,0.0
attack_fire,5,,,,,0.66,0.56,15.0
attack_fire,6,,,,,0.6,0.6,35.0
